schema_version,image_id,file_name,platform,package_name,app_name,version_name,source_url,activity_name,page_fingerprint,segment_index,depth,language,category,design_style,source_batch,image_sha256,image_phash,image_width,image_height,device_model,screen_resolution,android_version,capture_time
2,1cfaa9e210bcf21817addeb0dc68838752328040ff4593c2fd5546401fc26152,tv_danmaku_bili_com_bilibili_app_authorspace_local_LocalAuth_000000001000_s0_1785065050449.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.app.authorspace.local.LocalAuthorSpaceActivity,tv.danmaku.bili/com.bilibili.app.authorspace.local.LocalAuthorSpaceActivity|0000000010001000000100000000000000000000000000000000000000000000,0,0,,,,,1cfaa9e210bcf21817addeb0dc68838752328040ff4593c2fd5546401fc26152,87f0730737f03931,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:24:10.858430
2,c12def403d7fb00a556c5a9e2659d3956f85665e02361a3983904948b1a559a7,tv_danmaku_bili__MainActivityV2_000010010000_s0_1785065052342.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000100100000000000000000000010001000100000001000100010000000000,0,1,,,,,c12def403d7fb00a556c5a9e2659d3956f85665e02361a3983904948b1a559a7,d346c58bae2afc11,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:24:13.222341
2,2d8514c30cd6a18048ddb30adeef049fe4413b20044796faf36687c31d1b0e94,tv_danmaku_bili_com_bilibili_search2_main_BiliMainSearchActi_000000000080_s0_1785065055112.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity|0000000000800080000000400002000000000000000000000000000000000000,0,2,,,,,2d8514c30cd6a18048ddb30adeef049fe4413b20044796faf36687c31d1b0e94,860c9dd706d1d3d3,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:24:15.323257
2,c0cd00000cb679c5e21d7304f3c655e0ae150e1830fb41ab7445b8446375328e,tv_danmaku_bili_com_bilibili_search2_main_BiliMainSearchActi_000000000000_s0_1785065056390.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity|0000000000000000000000000000000000000000000000000000000000000000,0,3,,,,,c0cd00000cb679c5e21d7304f3c655e0ae150e1830fb41ab7445b8446375328e,8f7fe19b060b63c0,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:24:16.716776
2,2c1219eb1cddfbb9332eb9711ae0db7ca0371d0c4673a7a2966e9cfea12ff347,tv_danmaku_bili__MainActivityV2_000010010000_s0_1785065062308.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000100100000000000000000000010001000100000001000100010000000000,0,3,,,,,2c1219eb1cddfbb9332eb9711ae0db7ca0371d0c4673a7a2966e9cfea12ff347,9316d4b3ab69cc15,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:24:23.164939
2,a2b1af239e6d1b02337f4332eec71605a9544b88417edc278d60d9d37df24673,tv_danmaku_bili__MainActivityV2_000000000000_s0_1785065086350.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000000000001000400100000000000000000000000000000000000000000000,0,0,,,,,a2b1af239e6d1b02337f4332eec71605a9544b88417edc278d60d9d37df24673,a285c19d7a8572bd,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:24:46.845604
2,c3c1ca35cd1969eedfb527d80b11a0324935200921802d04a4b4a2b3471de516,tv_danmaku_bili_com_bilibili_lib_ui_GeneralActivity_000000000000_s0_1785065088589.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.lib.ui.GeneralActivity,tv.danmaku.bili/com.bilibili.lib.ui.GeneralActivity|0000000000000000400040000000000000000000400000000000000000004000,0,1,,,,,c3c1ca35cd1969eedfb527d80b11a0324935200921802d04a4b4a2b3471de516,807f007fff00ff02,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:24:48.818158
2,7220366d204c0c3959a07ced01dd2d3f5e6bbcc1ea269a146de32e051a3f71f5,tv_danmaku_bili_com_bilibili_bplus_followinglist_page_browse_000000000000_s0_1785065112912.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.bplus.followinglist.page.browser.ui.LightBrowserActivityV2,tv.danmaku.bili/com.bilibili.bplus.followinglist.page.browser.ui.LightBrowserActivityV2|0000000000000000000000000000000000000000000000000000000000010000,0,0,,,,,7220366d204c0c3959a07ced01dd2d3f5e6bbcc1ea269a146de32e051a3f71f5,a2155dabe2148d6f,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:25:13.365018
2,17133c66aceed5a9848193001d12ef53c49d5652a646d5db6725e156b9446ac8,tv_danmaku_bili__MainActivityV2_000000000000_s0_1785065124496.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000000000000000000000000000000000000000000000000000000000000001,0,0,,,,,17133c66aceed5a9848193001d12ef53c49d5652a646d5db6725e156b9446ac8,cb65b61ad12e2595,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:25:25.209861
2,b394ecd3349fd3ddaec6bcbdaf915dbec28f13efe168265c31ce2f90598d3647,tv_danmaku_bili__MainActivityV2_000010010000_s0_1785065126583.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000100100000000000000000000010001000100000000000100010001000000,0,1,,,,,b394ecd3349fd3ddaec6bcbdaf915dbec28f13efe168265c31ce2f90598d3647,da05acf0f5ee8518,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:25:27.327601
2,f1f9ab71b172f84288f2240757920e3c697677884a7ffafaa703bc317f165ba7,tv_danmaku_bili_com_bilibili_search2_main_BiliMainSearchActi_000000000080_s0_1785065129166.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity|0000000000800080000000000002000000000000000000000000000000000000,0,2,,,,,f1f9ab71b172f84288f2240757920e3c697677884a7ffafaa703bc317f165ba7,870dddd60693d370,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:25:29.379477
