schema_version,image_id,file_name,platform,package_name,app_name,version_name,source_url,activity_name,page_fingerprint,segment_index,depth,language,category,design_style,source_batch,image_sha256,image_phash,image_width,image_height,device_model,screen_resolution,android_version,capture_time
2,61097ae9adccb526a388551d3699a06a480d990b72dd8b1a434cd3becc597f7a,tv_danmaku_bili_com_bilibili_app_authorspace_local_LocalAuth_000000001000_s0_1785065752532.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.app.authorspace.local.LocalAuthorSpaceActivity,tv.danmaku.bili/com.bilibili.app.authorspace.local.LocalAuthorSpaceActivity|0000000010001000000100000040000000000000000000000000000000000000,0,0,,,,,61097ae9adccb526a388551d3699a06a480d990b72dd8b1a434cd3becc597f7a,87704647427e7e1e,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:35:53.008912
2,06c898d271e0ac696ee166c257b797e174252bd01f471de04bb5d15d7b3b0bbd,tv_danmaku_bili__MainActivityV2_000010010000_s0_1785065754487.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000100100000000000000000000010001000100000001000100010001000000,0,1,,,,,06c898d271e0ac696ee166c257b797e174252bd01f471de04bb5d15d7b3b0bbd,9b44a1b3e629ec69,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:35:55.253608
2,58364c1ec9626c3a1232d08fb83be8f5ac8a6083dcf206e24dd877864fc5041f,tv_danmaku_bili__MainActivityV2_000010010000_s0_1785065777048.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000100100000000008000000000000001000100000000010100010001000000,0,0,,,,,58364c1ec9626c3a1232d08fb83be8f5ac8a6083dcf206e24dd877864fc5041f,9a1b27e4eca49b52,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:36:17.774937
2,109693034eaa7024c0c34069b49150d8329e70fa1bcb77fc5c2d22e273dbf3e5,tv_danmaku_bili_com_bilibili_search2_main_BiliMainSearchActi_000000000080_s0_1785065779833.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity|0000000000800080000004800002000000000000000000000000000000000000,0,1,,,,,109693034eaa7024c0c34069b49150d8329e70fa1bcb77fc5c2d22e273dbf3e5,860dc9ff06d3d312,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:36:20.064046
2,a4d7b25d1832ad48d6d6264f01baf4bcf5058e61b9b199054e40f26cf4c3d683,tv_danmaku_bili__MainActivityV2_000000000000_s0_1785065791723.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000000000000000000000000000000000000000000000000000000000000001,0,1,,,,,a4d7b25d1832ad48d6d6264f01baf4bcf5058e61b9b199054e40f26cf4c3d683,876ac8519dec22b7,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:36:32.443606
2,4f04939ac95820ededf6bba5e6161049576a8ac3469c724eeb87c80e5f972fec,tv_danmaku_bili__MainActivityV2_000000000000_s0_1785065794349.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.MainActivityV2,tv.danmaku.bili/.MainActivityV2|0000000000000000000000000000000000000000000000001110000001000000,0,1,,,,,4f04939ac95820ededf6bba5e6161049576a8ac3469c724eeb87c80e5f972fec,9747c8319d8c6637,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:36:35.092237
2,7c33f426a2d0f1bdd77fe63f597441d3502e31f391570c91c808dfb2460e2e50,tv_danmaku_bili_com_bilibili_studio_centerplus_ui_CenterPlus_000000000000_s0_1785065798709.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/com.bilibili.studio.centerplus.ui.CenterPlusMainActivity,tv.danmaku.bili/com.bilibili.studio.centerplus.ui.CenterPlusMainActivity|0000000000000000000000000000000002000000000000000000000000000000,0,1,,,,,7c33f426a2d0f1bdd77fe63f597441d3502e31f391570c91c808dfb2460e2e50,cdb932cc893366cc,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:36:38.906267
2,b19001e591de9ad36b7ef669a80a3d0ef3f6455e0aff89be086e4daedc7d1cf2,tv_danmaku_bili_kntr_common_compose_launcher_VertexActivity_000000000000_s0_1785065804819.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/kntr.common.compose.launcher.VertexActivity,tv.danmaku.bili/kntr.common.compose.launcher.VertexActivity|0000000000000000000000000000000000000000000000000000000000000000,0,1,,,,,b19001e591de9ad36b7ef669a80a3d0ef3f6455e0aff89be086e4daedc7d1cf2,8f0f07f0f0f06707,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:36:45.068799
2,45052af13ff624bb0507b672d258e3511fb1ca26966cbfef2fc4cb428be1895e,tv_danmaku_bili_kntr_common_compose_launcher_VertexActivity_000000000000_s0_1785065813246.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/kntr.common.compose.launcher.VertexActivity,tv.danmaku.bili/kntr.common.compose.launcher.VertexActivity|0000000000000100000000000100000000000000080008000800080000000800,0,1,,,,,45052af13ff624bb0507b672d258e3511fb1ca26966cbfef2fc4cb428be1895e,a1f4469b46d999cc,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:36:53.959842
2,31059b2c31d61564307186da3168c7ccd5445eff650d6770a7604b23c5eba093,tv_danmaku_bili__ui_webview_MWebActivity_000000000000_s0_1785065819574.png,app,tv.danmaku.bili,tv.danmaku.bili,9.4.0,,tv.danmaku.bili/.ui.webview.MWebActivity,tv.danmaku.bili/.ui.webview.MWebActivity|0000000000000000000000000000000000000000000000000000000000000000,0,0,,,,,31059b2c31d61564307186da3168c7ccd5445eff650d6770a7604b23c5eba093,97170727e2e2e2e2,1440,2354,ALN-AL00,1440x2560,12,2026-07-26T19:36:59.771467
